CODE_GAME;CODE_EVENT;CODE_PLAYER;VALUE
1;1;101;6;
1;2;101;4;
1;3;101;3;
1;4;101;7;
1;5;101;2;
1;6;101;3;
1;7;101;5;
1;8;101;9;
1;9;101;2;
1;10;101;6;
1;11;101;8;
1;1;102;6;
1;2;102;5;
1;3;102;6;
1;4;102;4;
1;5;102;8;
1;6;102;7;
1;7;102;1;
1;8;102;4;
1;9;102;7;
1;10;102;8;
1;11;102;3;
1;1;103;8;
1;2;103;6;
1;3;103;4;
1;4;103;3;
1;5;103;5;
1;6;103;8;
1;7;103;9;
1;8;103;6;
1;9;103;3;
1;10;103;2;
1;11;103;3;
1;1;104;9;
1;2;104;3;
1;3;104;8;
1;4;104;6;
1;5;104;4;
1;6;104;9;
1;7;104;6;
1;8;104;8;
1;9;104;5;
1;10;104;8;
1;11;104;4;
1;1;105;4;
1;2;105;8;
1;3;105;8;
1;4;105;3;
1;5;105;6;
1;6;105;7;
1;7;105;1;
1;8;105;4;
1;9;105;8;
1;10;105;4;
1;11;105;8;
1;1;106;8;
1;2;106;3;
1;3;106;7;
1;4;106;5;
1;5;106;9;
1;6;106;8;
1;7;106;2;
1;8;106;6;
1;9;106;4;
1;10;106;8;
1;11;106;1;
1;1;107;1;
1;2;107;1;
1;3;107;8;
1;4;107;3;
1;5;107;2;
1;6;107;3;
1;7;107;5;
1;8;107;1;
1;9;107;1;
1;10;107;9;
1;11;107;2;
1;1;108;1;
1;2;108;6;
1;3;108;2;
1;4;108;9;
1;5;108;7;
1;6;108;3;
1;7;108;7;
1;8;108;5;
1;9;108;9;
1;10;108;9;
1;11;108;7;
1;1;109;8;
1;2;109;5;
1;3;109;6;
1;4;109;8;
1;5;109;9;
1;6;109;2;
1;7;109;4;
1;8;109;3;
1;9;109;3;
1;10;109;8;
1;11;109;9;
1;1;110;1;
1;2;110;2;
1;3;110;4;
1;4;110;6;
1;5;110;4;
1;6;110;2;
1;7;110;5;
1;8;110;2;
1;9;110;1;
1;10;110;7;
1;11;110;7;
1;1;111;1;
1;2;111;8;
1;3;111;4;
1;4;111;6;
1;5;111;3;
1;6;111;6;
1;7;111;6;
1;8;111;9;
1;9;111;3;
1;10;111;4;
1;11;111;8;
1;1;112;3;
1;2;112;2;
1;3;112;2;
1;4;112;3;
1;5;112;5;
1;6;112;5;
1;7;112;9;
1;8;112;1;
1;9;112;2;
1;10;112;2;
1;11;112;3;
1;1;113;4;
1;2;113;3;
1;3;113;2;
1;4;113;8;
1;5;113;8;
1;6;113;6;
1;7;113;8;
1;8;113;2;
1;9;113;4;
1;10;113;3;
1;11;113;8;
1;1;114;3;
1;2;114;4;
1;3;114;8;
1;4;114;4;
1;5;114;6;
1;6;114;5;
1;7;114;4;
1;8;114;1;
1;9;114;4;
1;10;114;5;
1;11;114;7;
1;1;115;9;
1;2;115;7;
1;3;115;3;
1;4;115;3;
1;5;115;8;
1;6;115;8;
1;7;115;4;
1;8;115;3;
1;9;115;4;
1;10;115;2;
1;11;115;1;
1;1;116;7;
1;2;116;8;
1;3;116;6;
1;4;116;9;
1;5;116;4;
1;6;116;6;
1;7;116;7;
1;8;116;2;
1;9;116;9;
1;10;116;5;
1;11;116;8;
1;1;117;9;
1;2;117;8;
1;3;117;4;
1;4;117;3;
1;5;117;1;
1;6;117;5;
1;7;117;6;
1;8;117;8;
1;9;117;7;
1;10;117;6;
1;11;117;1;
1;1;118;2;
1;2;118;3;
1;3;118;8;
1;4;118;1;
1;5;118;7;
1;6;118;1;
1;7;118;8;
1;8;118;6;
1;9;118;9;
1;10;118;9;
1;11;118;6;
1;1;119;5;
1;2;119;7;
1;3;119;9;
1;4;119;6;
1;5;119;2;
1;6;119;6;
1;7;119;7;
1;8;119;5;
1;9;119;8;
1;10;119;7;
1;11;119;2;
1;1;120;3;
1;2;120;8;
1;3;120;1;
1;4;120;1;
1;5;120;3;
1;6;120;2;
1;7;120;4;
1;8;120;3;
1;9;120;9;
1;10;120;3;
1;11;120;1;
2;1;121;1;
2;2;121;4;
2;3;121;4;
2;4;121;2;
2;5;121;3;
2;6;121;4;
2;7;121;3;
2;8;121;5;
2;9;121;3;
2;10;121;8;
2;11;121;2;
2;1;122;8;
2;2;122;8;
2;3;122;6;
2;4;122;4;
2;5;122;7;
2;6;122;6;
2;7;122;9;
2;8;122;2;
2;9;122;8;
2;10;122;9;
2;11;122;9;
2;1;123;3;
2;2;123;1;
2;3;123;7;
2;4;123;1;
2;5;123;7;
2;6;123;2;
2;7;123;5;
2;8;123;8;
2;9;123;6;
2;10;123;2;
2;11;123;2;
2;1;124;1;
2;2;124;6;
2;3;124;5;
2;4;124;4;
2;5;124;4;
2;6;124;5;
2;7;124;2;
2;8;124;9;
2;9;124;1;
2;10;124;3;
2;11;124;9;
2;1;125;8;
2;2;125;7;
2;3;125;8;
2;4;125;7;
2;5;125;6;
2;6;125;7;
2;7;125;3;
2;8;125;3;
2;9;125;6;
2;10;125;2;
2;11;125;3;
2;1;126;4;
2;2;126;4;
2;3;126;7;
2;4;126;2;
2;5;126;1;
2;6;126;8;
2;7;126;9;
2;8;126;3;
2;9;126;4;
2;10;126;9;
2;11;126;2;
2;1;127;6;
2;2;127;5;
2;3;127;3;
2;4;127;4;
2;5;127;8;
2;6;127;8;
2;7;127;5;
2;8;127;2;
2;9;127;8;
2;10;127;6;
2;11;127;2;
2;1;128;7;
2;2;128;8;
2;3;128;2;
2;4;128;8;
2;5;128;8;
2;6;128;2;
2;7;128;8;
2;8;128;1;
2;9;128;4;
2;10;128;7;
2;11;128;1;
2;1;129;3;
2;2;129;9;
2;3;129;9;
2;4;129;1;
2;5;129;6;
2;6;129;1;
2;7;129;6;
2;8;129;4;
2;9;129;3;
2;10;129;4;
2;11;129;3;
2;1;130;2;
2;2;130;5;
2;3;130;2;
2;4;130;6;
2;5;130;4;
2;6;130;8;
2;7;130;3;
2;8;130;8;
2;9;130;8;
2;10;130;2;
2;11;130;2;
2;1;131;8;
2;2;131;5;
2;3;131;1;
2;4;131;4;
2;5;131;9;
2;6;131;6;
2;7;131;9;
2;8;131;1;
2;9;131;4;
2;10;131;9;
2;11;131;9;
2;1;132;4;
2;2;132;7;
2;3;132;7;
2;4;132;3;
2;5;132;4;
2;6;132;5;
2;7;132;3;
2;8;132;2;
2;9;132;4;
2;10;132;9;
2;11;132;3;
2;1;133;1;
2;2;133;8;
2;3;133;5;
2;4;133;7;
2;5;133;6;
2;6;133;1;
2;7;133;7;
2;8;133;3;
2;9;133;1;
2;10;133;6;
2;11;133;9;
2;1;134;5;
2;2;134;4;
2;3;134;9;
2;4;134;8;
2;5;134;7;
2;6;134;1;
2;7;134;6;
2;8;134;5;
2;9;134;2;
2;10;134;2;
2;11;134;8;
2;1;135;9;
2;2;135;2;
2;3;135;6;
2;4;135;8;
2;5;135;5;
2;6;135;2;
2;7;135;2;
2;8;135;4;
2;9;135;2;
2;10;135;6;
2;11;135;6;
2;1;136;3;
2;2;136;4;
2;3;136;3;
2;4;136;9;
2;5;136;6;
2;6;136;5;
2;7;136;7;
2;8;136;6;
2;9;136;9;
2;10;136;7;
2;11;136;6;
2;1;137;7;
2;2;137;6;
2;3;137;8;
2;4;137;8;
2;5;137;4;
2;6;137;4;
2;7;137;1;
2;8;137;4;
2;9;137;3;
2;10;137;9;
2;11;137;4;
2;1;138;6;
2;2;138;6;
2;3;138;2;
2;4;138;4;
2;5;138;3;
2;6;138;7;
2;7;138;9;
2;8;138;9;
2;9;138;9;
2;10;138;1;
2;11;138;5;
2;1;139;1;
2;2;139;2;
2;3;139;9;
2;4;139;9;
2;5;139;4;
2;6;139;3;
2;7;139;2;
2;8;139;4;
2;9;139;4;
2;10;139;8;
2;11;139;9;
2;1;140;9;
2;2;140;4;
2;3;140;2;
2;4;140;6;
2;5;140;8;
2;6;140;5;
2;7;140;5;
2;8;140;7;
2;9;140;7;
2;10;140;2;
2;11;140;1;
3;1;141;7;
3;2;141;5;
3;3;141;5;
3;4;141;1;
3;5;141;5;
3;6;141;7;
3;7;141;3;
3;8;141;3;
3;9;141;2;
3;10;141;4;
3;11;141;7;
3;1;142;5;
3;2;142;2;
3;3;142;4;
3;4;142;6;
3;5;142;8;
3;6;142;9;
3;7;142;6;
3;8;142;8;
3;9;142;5;
3;10;142;5;
3;11;142;7;
3;1;143;3;
3;2;143;4;
3;3;143;3;
3;4;143;5;
3;5;143;6;
3;6;143;6;
3;7;143;2;
3;8;143;1;
3;9;143;5;
3;10;143;2;
3;11;143;9;
3;1;144;7;
3;2;144;4;
3;3;144;2;
3;4;144;3;
3;5;144;6;
3;6;144;5;
3;7;144;4;
3;8;144;7;
3;9;144;6;
3;10;144;9;
3;11;144;1;
3;1;145;7;
3;2;145;6;
3;3;145;2;
3;4;145;4;
3;5;145;6;
3;6;145;9;
3;7;145;6;
3;8;145;4;
3;9;145;1;
3;10;145;9;
3;11;145;1;
3;1;146;4;
3;2;146;8;
3;3;146;2;
3;4;146;7;
3;5;146;2;
3;6;146;1;
3;7;146;2;
3;8;146;8;
3;9;146;3;
3;10;146;4;
3;11;146;9;
3;1;147;7;
3;2;147;3;
3;3;147;7;
3;4;147;7;
3;5;147;4;
3;6;147;5;
3;7;147;8;
3;8;147;5;
3;9;147;8;
3;10;147;1;
3;11;147;5;
3;1;148;5;
3;2;148;2;
3;3;148;5;
3;4;148;7;
3;5;148;5;
3;6;148;4;
3;7;148;5;
3;8;148;1;
3;9;148;2;
3;10;148;4;
3;11;148;3;
3;1;149;1;
3;2;149;6;
3;3;149;7;
3;4;149;3;
3;5;149;6;
3;6;149;6;
3;7;149;7;
3;8;149;1;
3;9;149;4;
3;10;149;8;
3;11;149;2;
3;1;150;1;
3;2;150;5;
3;3;150;1;
3;4;150;1;
3;5;150;9;
3;6;150;3;
3;7;150;7;
3;8;150;1;
3;9;150;9;
3;10;150;3;
3;11;150;5;
3;1;151;9;
3;2;151;5;
3;3;151;9;
3;4;151;6;
3;5;151;6;
3;6;151;9;
3;7;151;9;
3;8;151;1;
3;9;151;9;
3;10;151;4;
3;11;151;7;
3;1;152;4;
3;2;152;5;
3;3;152;8;
3;4;152;8;
3;5;152;8;
3;6;152;2;
3;7;152;7;
3;8;152;9;
3;9;152;6;
3;10;152;8;
3;11;152;9;
3;1;153;1;
3;2;153;8;
3;3;153;4;
3;4;153;7;
3;5;153;1;
3;6;153;6;
3;7;153;9;
3;8;153;1;
3;9;153;4;
3;10;153;2;
3;11;153;7;
3;1;154;5;
3;2;154;3;
3;3;154;6;
3;4;154;7;
3;5;154;9;
3;6;154;3;
3;7;154;8;
3;8;154;8;
3;9;154;2;
3;10;154;6;
3;11;154;6;
3;1;155;3;
3;2;155;1;
3;3;155;1;
3;4;155;3;
3;5;155;4;
3;6;155;3;
3;7;155;8;
3;8;155;4;
3;9;155;4;
3;10;155;1;
3;11;155;8;
3;1;156;2;
3;2;156;3;
3;3;156;9;
3;4;156;3;
3;5;156;3;
3;6;156;5;
3;7;156;1;
3;8;156;5;
3;9;156;7;
3;10;156;3;
3;11;156;2;
3;1;157;1;
3;2;157;3;
3;3;157;4;
3;4;157;1;
3;5;157;7;
3;6;157;3;
3;7;157;6;
3;8;157;9;
3;9;157;6;
3;10;157;6;
3;11;157;5;
3;1;158;8;
3;2;158;8;
3;3;158;5;
3;4;158;7;
3;5;158;8;
3;6;158;4;
3;7;158;3;
3;8;158;6;
3;9;158;7;
3;10;158;1;
3;11;158;8;
3;1;159;6;
3;2;159;9;
3;3;159;1;
3;4;159;2;
3;5;159;2;
3;6;159;1;
3;7;159;7;
3;8;159;1;
3;9;159;5;
3;10;159;7;
3;11;159;6;
3;1;160;1;
3;2;160;2;
3;3;160;1;
3;4;160;7;
3;5;160;4;
3;6;160;5;
3;7;160;3;
3;8;160;3;
3;9;160;7;
3;10;160;9;
3;11;160;3;
4;1;161;4;
4;2;161;8;
4;3;161;3;
4;4;161;2;
4;5;161;8;
4;6;161;9;
4;7;161;4;
4;8;161;4;
4;9;161;3;
4;10;161;8;
4;11;161;3;
4;1;162;5;
4;2;162;8;
4;3;162;4;
4;4;162;7;
4;5;162;7;
4;6;162;8;
4;7;162;2;
4;8;162;6;
4;9;162;1;
4;10;162;6;
4;11;162;8;
4;1;163;6;
4;2;163;1;
4;3;163;8;
4;4;163;2;
4;5;163;5;
4;6;163;3;
4;7;163;2;
4;8;163;2;
4;9;163;3;
4;10;163;5;
4;11;163;8;
4;1;164;6;
4;2;164;8;
4;3;164;5;
4;4;164;8;
4;5;164;5;
4;6;164;5;
4;7;164;9;
